user_id,tenure_days,subscription_tier,avg_daily_minutes_last_7d,avg_daily_minutes_last_30d,sessions_last_7d,sessions_last_30d,avg_completion_rate,unique_genres_watched_30d,days_since_last_session,binge_sessions_last_30d,peak_hour_viewing_pct,original_content_pct,recommendation_click_rate,fatigue_label
U008159,92,Standard,135.5,107.6,8,35,0.623,6,1,2,91.7,42.0,0.522,0
U009897,227,Basic,75.3,41.4,3,13,0.22,5,2,1,68.2,12.7,0.14,1
U002250,21,Premium,17.3,18.6,5,19,0.631,4,3,2,47.5,61.2,0.027,0
U004641,524,Standard,32.4,34.4,5,19,0.507,6,0,3,91.1,58.4,0.264,0
U009486,175,Basic,9.2,8.0,6,23,0.334,1,1,0,75.5,60.3,0.079,0
U004948,243,Standard,84.0,112.6,4,15,0.341,1,2,1,64.3,74.5,0.321,0
U009921,58,Standard,97.6,106.2,4,16,0.318,4,1,6,74.8,24.2,0.299,0
U001964,87,Basic,64.9,83.2,6,23,0.488,2,1,0,68.7,35.6,0.326,1
U008244,95,Basic,43.8,47.0,4,16,0.194,4,0,1,72.4,66.6,0.063,1
U006591,108,Standard,94.7,75.0,9,39,0.833,5,0,1,57.6,35.7,0.562,0
U008848,192,Standard,139.9,190.6,11,47,0.549,6,0,6,80.1,43.0,0.332,0
U000322,225,Basic,0.0,5.0,5,19,0.234,4,1,0,61.3,25.3,0.13,1
U002679,21,Standard,44.7,27.6,9,34,0.547,3,0,1,58.6,6.1,0.02,0
U004626,206,Standard,32.9,46.2,3,13,0.241,7,3,0,68.9,55.1,0.16,1
U004950,335,Standard,70.8,99.6,5,19,0.441,4,0,2,79.9,22.9,0.46,1
U008329,359,Basic,24.2,28.1,5,21,0.45,6,1,1,55.2,77.0,0.226,0
U003338,255,Standard,171.1,183.4,7,30,0.587,3,1,3,86.9,71.1,0.215,0
U005590,184,Basic,57.7,77.0,6,24,0.622,4,2,2,75.5,64.8,0.446,0
U000252,87,Basic,27.6,29.0,3,13,0.361,9,1,1,83.5,54.2,0.263,0
U003974,222,Premium,65.2,24.5,5,19,0.177,3,2,2,59.6,40.8,0.113,0
U006631,95,Basic,78.0,86.5,8,33,0.394,7,0,2,54.4,43.1,0.421,0
U005548,9,Basic,128.0,143.3,6,25,0.5,4,2,1,64.6,42.9,0.29,0
U000036,297,Standard,27.1,23.5,2,8,0.199,2,0,0,36.8,25.8,0.02,1
U008363,47,Standard,69.8,75.9,3,11,0.366,6,1,1,66.4,22.5,0.325,0
U001514,7,Standard,77.7,70.2,6,25,0.615,9,3,5,81.1,21.3,0.358,0
U009318,83,Premium,114.1,94.3,5,20,0.526,4,0,0,82.4,75.5,0.447,1
U000040,104,Basic,66.5,59.8,6,26,0.163,5,3,1,85.3,81.4,0.09,0
U004820,39,Standard,79.2,83.3,5,21,0.139,2,0,3,56.3,73.3,0.361,1
U003466,219,Standard,97.2,112.9,8,33,0.494,6,3,3,54.4,53.6,0.171,0
U001761,109,Standard,29.6,42.4,1,4,0.26,3,0,0,70.3,54.0,0.094,1
U002305,483,Premium,66.9,77.8,4,15,0.227,2,0,1,74.2,55.1,0.154,0
U003724,36,Basic,20.7,21.6,3,13,0.29,3,1,0,73.1,26.6,0.1,1
U008285,159,Premium,79.9,53.2,9,35,0.484,8,2,2,80.0,56.6,0.252,0
U004994,188,Standard,20.5,20.8,1,4,0.457,1,2,0,67.9,41.0,0.029,0
U008128,488,Premium,76.0,84.7,3,13,0.17,5,3,3,50.2,24.7,0.02,1
U003033,250,Standard,13.4,17.8,4,17,0.295,3,1,1,76.7,54.7,0.314,0
U007939,80,Premium,36.9,35.0,2,8,0.119,1,0,1,64.5,73.0,0.023,0
U003040,131,Premium,34.4,46.1,8,32,0.385,4,7,0,75.2,36.2,0.234,1
U009656,148,Standard,119.2,93.5,9,34,0.386,2,1,1,74.1,61.0,0.312,0
U002546,120,Basic,42.8,52.9,5,20,0.812,6,2,1,59.1,49.6,0.469,0
U002593,144,Standard,105.3,99.7,7,30,0.308,4,1,2,76.9,10.3,0.168,0
U001189,64,Basic,80.8,85.1,6,25,0.604,1,1,3,49.6,59.1,0.303,0
U007967,57,Premium,0.0,5.0,6,26,0.064,2,0,0,55.6,23.1,0.071,1
U006078,141,Basic,44.9,38.2,4,17,0.459,3,3,3,83.4,42.1,0.136,0
U000108,253,Standard,53.3,28.9,7,27,0.345,2,0,1,69.6,30.7,0.297,1
U001316,185,Standard,81.7,128.1,11,44,0.757,9,0,2,49.7,46.2,0.403,1
U008188,495,Standard,97.7,116.7,4,16,0.393,6,1,1,69.6,77.9,0.041,0
U002754,76,Basic,0.0,5.0,4,17,0.241,5,0,0,95.0,72.5,0.153,1
U009754,263,Standard,30.0,29.0,2,8,0.255,4,3,1,95.0,72.7,0.197,0
U006232,436,Basic,5.6,5.3,5,22,0.169,5,4,0,57.1,44.5,0.02,1
U002877,123,Standard,45.9,21.2,0,0,0.088,3,0,0,70.0,40.3,0.038,1
U005324,1095,Premium,49.7,62.7,4,16,0.378,3,3,0,45.8,59.6,0.154,1
U000800,460,Basic,77.7,83.0,10,42,0.438,4,0,2,59.2,19.5,0.219,0
U003571,67,Basic,16.7,20.4,5,21,0.188,1,2,0,69.7,67.5,0.02,0
U002895,29,Standard,67.0,27.4,4,17,0.121,3,3,2,72.2,27.8,0.043,1
U002928,754,Standard,69.8,49.6,5,19,0.49,4,7,4,63.6,76.7,0.112,0
U008179,7,Standard,33.7,33.6,1,4,0.257,1,1,0,95.0,50.2,0.02,1
U000972,497,Premium,74.4,101.1,5,20,0.572,6,0,1,46.8,34.3,0.397,0
U006688,78,Standard,106.4,153.6,6,24,0.234,3,0,4,92.2,74.5,0.314,0
U008576,13,Standard,83.6,65.2,8,33,0.729,3,4,0,63.6,49.1,0.432,0
U002021,595,Standard,90.4,91.7,11,47,0.563,4,1,0,89.8,16.1,0.321,0
U009055,154,Standard,82.1,91.1,6,26,0.133,7,0,0,43.2,49.4,0.057,1
U000953,34,Basic,13.0,8.5,2,8,0.214,2,0,0,87.3,70.1,0.174,1
U005360,124,Standard,58.8,105.8,6,24,0.773,2,9,1,84.6,43.3,0.322,0
U003858,143,Premium,0.0,5.0,1,4,0.05,1,1,0,49.5,28.9,0.035,1
U005862,131,Premium,7.9,11.5,3,12,0.441,4,1,1,84.7,30.8,0.02,0
U003146,82,Standard,97.5,95.1,7,29,0.529,2,3,3,76.6,38.3,0.138,0
U003306,77,Standard,57.9,61.3,6,23,0.414,6,1,1,85.0,48.3,0.26,0
U003007,425,Premium,61.5,61.4,4,17,0.221,7,1,1,93.3,27.0,0.02,0
U009002,134,Basic,112.9,142.7,6,23,0.348,3,2,2,48.8,11.1,0.092,1
U007771,126,Standard,80.8,93.7,7,31,0.293,5,0,4,86.5,67.6,0.204,0
U007439,59,Standard,32.7,41.7,6,23,0.52,7,3,2,72.7,68.1,0.325,0
U007943,416,Standard,49.6,41.0,5,20,0.266,8,2,1,66.2,33.3,0.183,1
U009239,123,Premium,0.0,5.0,2,8,0.449,2,2,0,56.5,56.4,0.067,1
U001057,262,Standard,19.4,18.1,5,21,0.492,3,5,0,81.2,64.4,0.247,0
U003155,105,Basic,92.2,122.4,6,26,0.171,4,0,1,89.6,17.6,0.157,0
U003788,112,Basic,105.5,102.9,8,34,0.354,2,8,1,66.9,38.2,0.191,0
U009190,302,Standard,44.4,18.5,6,23,0.173,6,0,0,68.3,49.2,0.02,1
U007826,349,Standard,34.5,32.8,4,17,0.237,5,3,0,72.0,12.4,0.145,1
U007540,90,Standard,53.6,59.7,3,12,0.536,6,3,1,77.3,53.3,0.228,0
U007232,105,Standard,68.7,67.6,5,21,0.527,2,0,0,76.6,79.2,0.395,1
U000765,7,Standard,0.0,5.0,1,4,0.14,1,1,0,86.9,49.0,0.159,1
U005020,351,Standard,40.8,40.2,1,4,0.338,2,0,0,32.3,71.1,0.157,1
U004904,66,Basic,98.3,91.3,5,20,0.363,6,1,3,47.0,34.9,0.235,0
U008094,671,Standard,58.9,48.4,7,28,0.358,4,0,4,87.2,76.4,0.449,0
U006844,16,Standard,90.8,112.7,5,19,0.531,3,0,2,14.6,44.1,0.1,0
U002166,696,Standard,52.7,40.2,5,19,0.405,2,3,3,76.4,35.0,0.098,0
U001863,35,Premium,44.7,45.2,2,8,0.724,1,0,0,64.1,59.4,0.257,0
U007851,65,Standard,105.6,113.8,2,8,0.255,1,3,2,66.9,34.4,0.02,1
U009124,405,Premium,56.6,69.3,11,43,0.526,4,1,0,85.0,67.1,0.281,1
U002341,250,Standard,93.3,92.5,8,31,0.931,4,2,3,84.2,36.5,0.227,0
U005528,15,Standard,65.0,93.4,2,8,0.207,2,2,0,72.0,30.8,0.069,1
U006744,356,Premium,51.5,48.4,7,30,0.177,2,0,1,84.5,40.6,0.17,0
U004004,30,Standard,4.8,5.0,9,40,0.468,1,1,4,80.3,37.4,0.191,1
U001124,298,Standard,30.6,29.8,4,17,0.329,4,0,1,73.8,35.0,0.205,0
U008710,231,Standard,45.9,43.0,1,4,0.157,2,2,0,82.2,18.9,0.235,1
U004050,40,Basic,38.5,38.8,5,21,0.217,2,6,0,50.9,28.1,0.1,0
U007641,107,Basic,93.0,84.5,4,17,0.329,4,0,0,58.1,34.8,0.235,1
U000766,151,Standard,98.1,132.0,6,26,0.357,2,3,0,91.4,42.4,0.02,1
U002345,511,Standard,33.9,33.0,6,26,0.518,3,1,3,66.6,61.5,0.089,1
U004072,203,Basic,79.1,71.6,6,24,0.26,6,0,0,93.0,61.0,0.342,1
U007217,150,Basic,92.7,122.2,9,40,0.297,5,1,1,63.1,26.4,0.285,0
U004217,7,Basic,88.7,112.0,6,24,0.18,2,0,0,54.9,74.5,0.315,1
U007953,166,Basic,91.8,67.3,4,15,0.482,5,4,4,28.9,84.4,0.226,0
U005971,282,Premium,73.1,82.6,6,24,0.244,4,3,5,84.3,19.4,0.184,0
U003351,43,Premium,26.5,30.0,3,12,0.328,4,0,2,58.8,24.7,0.185,0
U004696,381,Standard,103.6,115.1,7,28,0.663,7,0,1,95.0,48.6,0.379,0
U003400,154,Basic,0.0,5.0,4,17,0.565,2,5,0,94.2,36.2,0.106,1
U004082,47,Premium,20.8,25.1,4,16,0.287,2,0,0,76.3,29.3,0.26,0
U009150,141,Premium,142.1,144.8,7,29,0.463,4,2,5,94.5,20.2,0.445,0
U001225,97,Standard,0.0,5.0,3,11,0.134,2,2,0,48.5,18.5,0.02,1
U006293,545,Premium,0.0,5.0,1,4,0.175,3,3,0,75.6,51.2,0.066,1
U003123,11,Basic,87.2,113.1,10,38,0.614,3,2,1,85.3,63.3,0.403,1
U000511,171,Basic,13.7,11.6,2,8,0.486,4,0,1,80.4,68.0,0.265,1
U005795,125,Basic,72.7,45.7,3,12,0.605,3,0,0,61.7,30.5,0.151,0
U008182,29,Basic,80.5,72.3,8,31,0.392,2,1,1,93.4,56.8,0.273,0
U009418,55,Premium,40.8,41.5,2,7,0.084,1,1,0,34.7,67.2,0.02,0
U000097,133,Standard,166.2,165.4,10,44,0.347,6,0,7,56.7,32.0,0.452,0
U006682,47,Standard,81.4,85.1,6,25,0.292,2,0,0,59.2,24.9,0.269,0
U001513,560,Premium,31.5,43.6,6,23,0.486,2,1,2,94.3,36.2,0.297,0
U008792,10,Standard,5.2,5.0,3,11,0.242,1,0,1,66.2,63.6,0.265,1
U000120,139,Standard,80.0,48.2,2,8,0.327,3,0,1,64.8,59.0,0.252,1
U007792,44,Standard,60.7,53.6,6,23,0.521,1,2,2,71.5,60.1,0.24,1
U006518,233,Premium,20.4,20.4,4,17,0.188,5,1,0,71.5,44.6,0.02,0
U000034,535,Premium,112.0,141.7,6,25,0.347,5,0,1,73.9,25.8,0.262,0
U007888,90,Standard,65.7,56.6,5,19,0.472,6,0,1,73.8,50.2,0.255,0
U006831,482,Standard,36.9,45.2,6,25,0.335,4,0,3,66.8,27.2,0.344,1
U005422,66,Standard,98.2,99.6,4,16,0.458,7,0,3,41.0,57.6,0.356,0
U001069,78,Standard,16.5,11.8,1,4,0.334,3,2,0,72.8,52.3,0.138,1
U001348,83,Basic,0.0,5.0,3,12,0.143,2,12,1,85.1,40.2,0.051,1
U004748,7,Standard,7.2,10.6,3,12,0.107,2,12,0,86.5,15.1,0.043,1
U006006,590,Basic,47.9,41.1,7,30,0.526,2,0,4,63.0,82.6,0.404,0
U006040,362,Standard,123.3,157.8,8,32,0.446,5,0,4,80.2,63.8,0.15,0
U003818,312,Standard,25.4,21.6,2,8,0.161,1,0,0,82.2,57.6,0.13,0
U008447,149,Standard,50.3,52.0,3,13,0.175,1,1,2,60.8,27.2,0.206,0
U005270,65,Basic,46.6,56.5,5,19,0.569,1,0,1,71.9,58.8,0.39,0
U006898,7,Standard,27.5,27.9,4,15,0.422,7,2,3,43.6,48.3,0.146,0
U005310,403,Basic,9.9,12.9,2,8,0.143,3,3,0,64.1,20.1,0.259,1
U000032,33,Premium,27.5,43.5,4,17,0.365,8,1,0,95.0,41.0,0.079,1
U005675,570,Premium,0.0,5.0,6,26,0.617,4,2,2,65.3,26.6,0.161,1
U004387,578,Premium,0.0,5.0,4,16,0.154,2,0,0,68.2,74.7,0.166,0
U000030,8,Standard,30.7,21.8,1,3,0.177,1,5,0,79.1,70.3,0.127,1
U004203,24,Standard,93.8,61.1,9,38,0.542,9,0,3,90.6,56.2,0.214,0
U007508,71,Standard,112.3,96.5,7,27,0.328,4,2,1,88.0,51.7,0.31,1
U000736,377,Basic,14.8,18.7,3,12,0.488,3,0,1,76.3,31.2,0.097,0
U002068,53,Premium,134.5,140.5,7,30,0.417,6,4,4,54.0,42.6,0.28,1
U000107,95,Basic,29.1,20.1,1,4,0.05,4,2,0,73.8,18.7,0.298,1
U009645,85,Standard,116.5,121.7,7,27,0.597,1,2,5,62.8,43.2,0.266,0
U008895,7,Standard,75.2,67.0,3,12,0.55,1,1,0,87.4,3.5,0.208,0
U008021,124,Standard,63.2,91.2,5,20,0.329,3,0,1,51.7,66.7,0.072,1
U002233,419,Basic,56.4,56.1,3,12,0.524,6,3,0,71.3,27.6,0.114,0
U000994,160,Standard,12.0,7.4,4,16,0.391,5,0,1,86.2,63.3,0.304,0
U009413,252,Standard,2.2,5.0,1,3,0.104,2,2,1,45.3,24.2,0.076,1
U007059,413,Standard,58.3,37.3,8,34,0.42,9,3,2,75.5,37.9,0.282,0
U006790,143,Premium,0.0,5.0,5,21,0.339,4,2,0,44.0,9.3,0.02,0
U000361,88,Premium,72.5,71.9,7,27,0.364,2,2,1,85.8,18.5,0.237,0
U000305,233,Basic,49.3,43.1,5,21,0.485,5,2,1,57.4,38.9,0.276,0
U002628,209,Premium,41.2,40.0,7,30,0.335,6,0,0,57.8,33.7,0.229,1
U008966,194,Basic,96.3,121.1,6,25,0.353,3,2,0,36.0,25.0,0.041,1
U004514,176,Basic,29.2,24.8,5,21,0.322,5,2,0,34.6,42.7,0.144,1
U005911,93,Premium,91.2,67.3,9,40,0.431,9,1,6,73.6,54.8,0.519,0
U008314,167,Basic,18.1,17.9,1,4,0.176,6,0,0,44.9,56.5,0.12,0
U003101,17,Basic,95.6,85.1,7,27,0.563,5,0,2,24.0,26.8,0.433,1
U005704,52,Basic,98.9,58.3,7,28,0.352,5,3,2,85.7,77.8,0.264,1
U003899,139,Premium,93.4,96.8,7,27,0.443,1,6,2,67.0,27.6,0.407,0
U005441,111,Premium,39.1,47.5,3,11,0.405,4,1,1,80.5,41.5,0.098,0
U007931,310,Standard,86.9,65.6,5,21,0.429,4,3,0,61.4,52.8,0.217,0
U000622,42,Basic,52.2,82.6,8,31,0.546,4,0,4,54.2,61.1,0.199,1
U007236,115,Standard,24.2,21.5,3,13,0.339,4,1,1,68.5,67.3,0.047,0
U002499,710,Standard,17.1,11.6,3,12,0.073,1,3,0,32.6,32.8,0.174,1
U000714,95,Standard,84.7,109.2,5,19,0.453,1,0,1,66.7,52.2,0.248,1
U008404,139,Standard,87.1,94.1,3,12,0.05,2,0,1,78.7,39.6,0.213,1
U002856,126,Basic,58.4,51.6,3,11,0.281,3,1,0,58.0,35.9,0.198,0
U004270,507,Standard,92.4,97.0,4,16,0.3,2,0,3,29.1,62.1,0.216,1
U002909,65,Standard,106.6,71.5,10,43,0.763,7,0,4,70.8,39.9,0.392,1
U008081,67,Standard,28.7,30.3,2,8,0.233,4,1,1,65.9,63.9,0.081,0
U004517,132,Standard,42.9,39.6,1,4,0.546,2,0,1,83.7,71.0,0.224,0
U001262,287,Standard,13.2,9.8,5,21,0.05,2,5,0,49.7,14.8,0.117,1
U003161,105,Standard,25.9,18.7,4,16,0.31,3,9,1,89.4,38.7,0.164,1
U000971,196,Standard,33.1,32.6,4,15,0.224,6,0,0,59.1,56.3,0.046,0
U003913,7,Standard,0.0,5.0,4,15,0.325,2,0,3,62.7,21.6,0.058,1
U005199,88,Basic,55.7,60.4,4,15,0.245,4,2,2,86.0,30.9,0.071,0
U008847,486,Standard,5.2,5.2,6,25,0.311,3,2,1,42.6,75.5,0.02,0
U000260,18,Basic,72.7,61.9,4,16,0.409,4,3,1,92.0,14.9,0.145,1
U003791,43,Basic,44.5,31.6,5,20,0.73,1,3,2,70.1,35.1,0.215,0
U009203,164,Premium,52.1,54.0,3,12,0.604,1,10,1,77.1,19.6,0.126,0
U000488,59,Premium,45.6,52.1,3,11,0.485,4,4,0,75.0,65.4,0.218,0
U007908,286,Standard,0.0,5.0,6,25,0.223,3,7,0,69.4,39.7,0.139,1
U000519,785,Standard,85.6,96.2,8,35,0.524,5,2,6,81.0,73.7,0.24,0
U008343,35,Premium,83.7,110.0,5,19,0.56,3,2,0,92.8,33.4,0.19,0
U000312,14,Basic,107.2,119.1,8,34,0.619,6,0,4,81.5,23.0,0.403,0
U003232,168,Standard,121.1,126.0,10,41,0.731,9,4,0,62.3,27.7,0.507,1
U007933,163,Standard,69.7,69.7,5,21,0.331,1,0,1,79.4,66.2,0.13,1
U007458,93,Standard,93.4,78.4,5,20,0.389,1,0,0,74.7,55.7,0.229,0
U009784,500,Basic,55.8,56.2,5,21,0.453,3,0,2,81.8,33.7,0.082,0
U005184,493,Standard,110.0,85.3,7,28,0.684,5,4,0,85.8,64.5,0.266,0
U008077,169,Standard,93.7,134.7,7,29,0.391,6,0,3,55.2,30.8,0.298,0
U006502,15,Standard,35.0,45.9,5,21,0.093,4,3,1,79.8,32.4,0.02,1
U006791,314,Standard,0.0,5.0,3,13,0.418,3,10,0,56.5,32.7,0.123,1
U007773,51,Basic,97.8,100.5,6,24,0.483,2,1,0,79.5,14.4,0.134,1
U002738,141,Standard,95.6,118.0,8,32,0.389,4,0,3,64.3,8.7,0.258,0
U007842,104,Basic,0.0,5.0,1,4,0.208,1,1,2,33.1,90.0,0.193,1
U006262,343,Standard,132.5,141.0,7,29,0.689,3,0,3,72.2,16.9,0.267,0
U008206,53,Standard,63.6,69.3,2,7,0.403,5,5,1,75.0,31.5,0.14,0
U001248,7,Standard,92.0,80.9,8,32,0.56,4,2,3,70.2,41.7,0.154,0
U009336,42,Premium,38.6,30.5,3,11,0.108,1,2,0,93.1,28.4,0.02,0
U004195,173,Basic,45.9,42.0,4,16,0.124,5,4,1,73.9,44.1,0.02,1
U008001,229,Standard,0.0,5.0,7,31,0.383,6,1,2,92.5,34.7,0.123,0
U007378,92,Standard,84.0,119.7,6,26,0.48,5,0,3,62.1,59.0,0.357,1
U003435,221,Standard,13.1,12.7,5,19,0.269,5,1,1,88.1,38.3,0.1,0
U005382,126,Standard,119.4,112.1,9,36,0.565,8,1,8,59.8,36.0,0.49,1
U000959,32,Standard,47.5,49.8,6,26,0.416,2,0,4,81.5,49.5,0.108,0
U000417,62,Standard,75.2,43.4,8,35,0.718,6,0,3,79.8,46.5,0.258,0
U005742,151,Standard,50.6,67.1,3,12,0.467,2,3,1,54.8,57.4,0.052,1
U006728,16,Basic,32.9,23.6,4,17,0.483,2,5,0,86.2,36.9,0.155,0
U004382,13,Standard,43.5,42.8,7,29,0.455,2,5,6,77.8,89.0,0.263,0
U005197,241,Premium,20.5,31.8,7,27,0.571,3,1,3,84.5,42.4,0.257,0
U001113,45,Basic,60.6,71.2,5,20,0.553,8,1,1,54.3,82.0,0.082,0
U002689,122,Standard,35.0,31.2,6,25,0.661,2,1,0,56.4,39.0,0.123,0
U006473,187,Basic,30.6,21.8,7,29,0.639,9,1,0,51.9,31.4,0.416,0
U008820,75,Basic,10.8,13.8,0,0,0.328,2,0,0,38.6,79.7,0.095,1
U007808,347,Standard,18.1,10.6,2,7,0.265,4,1,3,66.8,76.5,0.262,0
U003411,95,Basic,5.3,5.0,2,8,0.309,2,2,3,59.0,50.9,0.055,1
U000081,357,Standard,90.9,64.0,7,31,0.606,4,3,0,78.2,64.2,0.244,0
U004614,20,Standard,37.5,33.6,7,29,0.203,4,8,1,85.8,50.9,0.121,0
U001374,122,Standard,119.7,151.3,9,34,0.671,3,0,1,79.3,39.4,0.441,1
U001510,260,Standard,56.1,60.1,4,16,0.317,3,2,0,63.2,39.5,0.044,1
U006443,230,Basic,123.1,63.3,8,35,0.643,4,0,1,73.9,47.5,0.316,0
U003071,220,Standard,0.0,5.0,1,4,0.097,3,2,0,93.2,29.9,0.194,1
U003016,73,Standard,6.0,6.2,4,17,0.116,4,2,1,78.4,13.6,0.22,0
U004823,85,Standard,101.9,137.6,4,17,0.282,1,0,0,59.8,35.1,0.074,1
U007822,86,Basic,84.7,90.6,6,22,0.568,4,2,5,67.1,28.2,0.448,0
U000093,257,Standard,25.6,32.8,5,21,0.42,2,5,0,91.4,63.7,0.274,0
U009421,464,Premium,75.0,93.3,3,13,0.277,4,0,1,61.1,14.3,0.06,0
U006600,156,Standard,15.5,18.8,7,26,0.296,1,3,3,63.3,35.6,0.279,0
U004443,45,Basic,0.0,5.0,5,20,0.174,3,0,0,95.0,77.2,0.093,1
U007602,34,Standard,113.4,97.7,9,35,0.726,9,2,3,95.0,51.1,0.478,0
U003835,110,Standard,81.2,87.0,7,29,0.715,1,1,0,65.8,32.1,0.237,0
U009702,43,Standard,47.7,56.3,9,36,0.374,1,0,2,79.2,52.7,0.182,0
U004322,494,Basic,132.9,122.3,9,38,0.51,5,6,2,68.4,58.9,0.284,0
U003394,70,Premium,31.4,18.8,3,12,0.21,6,6,1,32.7,68.8,0.125,1
U004752,105,Basic,18.9,19.4,2,8,0.279,3,0,0,40.5,54.4,0.111,0
U007229,530,Standard,18.0,14.1,4,16,0.255,1,3,0,84.7,58.6,0.02,1
U009191,421,Standard,115.3,84.4,5,22,0.674,7,0,3,88.3,63.9,0.203,0
U002361,7,Standard,85.5,95.3,8,31,0.407,4,0,1,69.1,55.9,0.328,1
U001148,193,Standard,0.0,5.0,5,20,0.157,2,2,0,75.5,79.0,0.045,1
U005666,273,Premium,79.1,95.4,6,25,0.428,11,1,3,57.0,49.0,0.396,0
U008075,322,Basic,10.2,6.6,6,25,0.472,2,1,1,88.6,36.9,0.213,1
U004943,339,Basic,43.8,54.8,4,17,0.128,5,3,3,58.3,60.3,0.02,1
U003663,9,Standard,0.0,5.0,3,11,0.253,2,5,0,69.5,50.7,0.049,1
U001563,272,Premium,129.4,125.1,6,25,0.544,3,0,4,79.3,30.6,0.395,0
U004113,12,Basic,28.4,39.8,6,23,0.265,5,0,2,82.0,55.5,0.17,1
U009050,130,Standard,0.0,5.0,3,11,0.208,4,4,0,62.5,36.7,0.097,1
U009276,73,Standard,117.0,127.6,9,38,0.656,9,1,3,40.5,32.0,0.177,1
U008538,393,Premium,11.8,12.1,2,8,0.176,1,0,0,79.4,53.0,0.223,0
U000795,7,Basic,0.0,5.0,3,13,0.208,6,0,0,85.9,43.7,0.031,1
U005854,358,Premium,0.0,5.0,0,0,0.333,2,2,0,54.6,48.5,0.207,1
U007619,638,Premium,132.2,178.5,10,41,0.657,6,0,5,71.0,17.2,0.207,0
U001594,19,Basic,84.8,76.3,5,21,0.271,1,0,2,54.5,49.6,0.364,0
U007418,36,Standard,71.1,74.3,6,25,0.647,4,3,2,68.3,76.4,0.422,1
U005267,61,Basic,28.8,37.2,5,19,0.46,3,0,2,70.2,77.4,0.263,0
U007147,252,Standard,40.8,47.3,8,32,0.383,5,0,1,72.2,53.4,0.229,1
U000089,392,Standard,26.1,20.3,4,15,0.388,1,1,2,72.0,52.3,0.21,0
U008695,131,Standard,56.1,52.5,5,20,0.135,3,1,0,67.8,31.0,0.033,0
U009732,248,Standard,64.9,81.3,5,21,0.426,1,10,1,73.5,46.8,0.268,1
U009446,8,Standard,100.3,143.0,6,23,0.588,5,3,2,82.0,67.5,0.242,1
U006754,16,Standard,60.1,48.6,7,27,0.358,7,8,1,42.0,33.2,0.047,0
U003502,292,Standard,123.4,90.6,9,40,0.304,4,3,4,90.6,36.3,0.219,0
U002234,344,Basic,66.7,71.5,4,17,0.545,3,0,1,51.4,38.8,0.191,0
U002803,517,Standard,62.0,66.1,2,8,0.174,3,0,1,69.0,49.8,0.154,0
U004424,234,Basic,73.2,91.0,7,31,0.788,4,0,2,66.6,57.6,0.107,0
U005663,301,Standard,41.1,39.6,5,20,0.104,2,2,3,51.8,58.4,0.19,0
U007170,49,Basic,52.5,59.5,6,25,0.255,6,1,3,83.3,37.6,0.233,0
U008337,509,Standard,85.0,56.4,9,36,0.538,4,0,2,10.6,36.3,0.332,0
U002148,79,Basic,2.5,5.0,0,0,0.058,1,4,0,92.6,45.4,0.02,0
U007969,98,Standard,30.1,28.6,8,31,0.264,3,1,1,75.0,61.5,0.234,1
U006551,73,Basic,59.8,64.8,5,21,0.603,9,2,2,88.1,63.5,0.316,0
U007643,103,Standard,25.4,10.4,7,29,0.446,5,0,0,75.7,60.7,0.169,0
U006164,83,Standard,36.2,56.1,2,7,0.406,2,2,0,84.6,69.9,0.121,1
